Archive,PedObserv_ID,Location_ID,DateTime,Direction_1,Direction_2,Total_of_Directions,Sensor_Name
pedestrian-counting-system-monthly-counts-per-hour.zip,162020241220,162,2024-12-20T00:00:00,79,36,115,Eli489_T
pedestrian-counting-system-monthly-counts-per-hour.zip,27220241209,27,2024-12-09T02:00:00,4,3,7,Vic_T
pedestrian-counting-system-monthly-counts-per-hour.zip,421320241219,42,2024-12-19T13:00:00,126,110,236,UM1_T
pedestrian-counting-system-monthly-counts-per-hour.zip,28320241223,28,2024-12-23T03:00:00,6,14,20,VAC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,171620241217,17,2024-12-17T16:00:00,263,413,676,Col15_T
pedestrian-counting-system-monthly-counts-per-hour.zip,202120241227,20,2024-12-27T21:00:00,326,525,851,LtB170_T
pedestrian-counting-system-monthly-counts-per-hour.zip,611820241226,61,2024-12-26T18:00:00,195,192,387,RMIT14_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1411720241227,141,2024-12-27T17:00:00,147,202,349,474Fl_T
pedestrian-counting-system-monthly-counts-per-hour.zip,69720241231,69,2024-12-31T07:00:00,40,22,62,FLDegC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,43120241205,43,2024-12-05T01:00:00,1,1,2,UM2_T
pedestrian-counting-system-monthly-counts-per-hour.zip,133620241213,133,2024-12-13T06:00:00,366,207,573,Spen229_T
pedestrian-counting-system-monthly-counts-per-hour.zip,44720241220,44,2024-12-20T07:00:00,16,6,22,UM3_T
pedestrian-counting-system-monthly-counts-per-hour.zip,132220241231,132,2024-12-31T02:00:00,6,18,24,King335_T
pedestrian-counting-system-monthly-counts-per-hour.zip,471020241223,47,2024-12-23T10:00:00,434,494,928,Eli250_T
pedestrian-counting-system-monthly-counts-per-hour.zip,671920241212,67,2024-12-12T19:00:00,259,391,650,FLDegS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,361820241219,36,2024-12-19T18:00:00,195,176,371,Que85_T
pedestrian-counting-system-monthly-counts-per-hour.zip,44820241223,44,2024-12-23T08:00:00,6,7,13,UM3_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1432120241212,143,2024-12-12T21:00:00,207,181,388,Spencer_T
pedestrian-counting-system-monthly-counts-per-hour.zip,751420241209,75,2024-12-09T14:00:00,61,67,128,SprFli_T
pedestrian-counting-system-monthly-counts-per-hour.zip,28120241224,28,2024-12-24T01:00:00,9,7,16,VAC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1020241202,1,2024-12-02T00:00:00,25,29,54,Bou292_T
pedestrian-counting-system-monthly-counts-per-hour.zip,512120241229,51,2024-12-29T21:00:00,62,52,114,Fra118_T
