num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S058271,2025-05-18,00:41:00,CALL. PUENTE LA REINA,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,443148,4483525,false,false
2025S058271,2025-05-18,00:41:00,CALL. PUENTE LA REINA,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,De 18 a 20 años,Mujer,,Desconocido,443148,4483525,false,false
2025S058377,2025-05-18,08:57:00,CALL. LOPEZ DE HOYOS / CALL. MARIA DE MOLINA,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,,Desconocido,441879,4476575,false,false
2025S058400,2025-05-18,10:15:00,CALL. MODESTO LAFUENTE,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,,Desconocido,440968,4476961,false,false
2025S058400,2025-05-18,10:15:00,CALL. MODESTO LAFUENTE,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,,Desconocido,440968,4476961,false,false
2025S058406,2025-05-18,09:00:00,CALL. OREJA / CALL. IBARRA,12,USERA,Alcance,,Turismo,Conductor,De 21 a 24 años,Hombre,,Desconocido,439107,4469033,false,false
2025S058406,2025-05-18,09:00:00,CALL. OREJA / CALL. IBARRA,12,USERA,Alcance,,Turismo,Conductor,De 30 a 34 años,Hombre,,Desconocido,439107,4469033,false,false
2025S058406,2025-05-18,09:00:00,CALL. OREJA / CALL. IBARRA,12,USERA,Alcance,,Turismo,Pasajero,De 25 a 29 años,Hombre,,Desconocido,439107,4469033,false,false
2025S058416,2025-05-18,10:40:00,PASEO. CASTELLANA,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Todo terreno,Conductor,De 45 a 49 años,Hombre,,Desconocido,441648,4479999,false,false
2025S058417,2025-05-18,10:35:00,PUERTA 6 SALIDAS,21,BARAJAS,Atropello a persona,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,14,Sin asistencia sanitaria,449694,4482525,false,false
2025S058417,2025-05-18,10:35:00,PUERTA 6 SALIDAS,21,BARAJAS,Atropello a persona,Despejado,Turismo,Peatón,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,449694,4482525,false,false
2025S058424,2025-05-18,11:30:00,AUTOV. M-22,21,BARAJAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,454029,4477826,false,false
2025S058425,2025-05-18,12:30:00,IDB. RONDA SUR,13,PUENTE DE VALLECAS,Colisión frontal,Despejado,Motocicleta > 125cc,Conductor,De 40 a 44 años,Hombre,1,Atención en urgencias sin posterior ingreso,443028,4469413,false,false
2025S058425,2025-05-18,12:30:00,IDB. RONDA SUR,13,PUENTE DE VALLECAS,Colisión frontal,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,443028,4469413,false,false
2025S058426,2025-05-18,12:40:00,AVDA. CIUDAD DE BARCELONA / CALL. LUIS MITJANS,3,RETIRO,Colisión lateral,Despejado,Motocicleta hasta 125cc,Conductor,De 45 a 49 años,Mujer,1,Atención en urgencias sin posterior ingreso,443026,4472317,false,false
2025S058426,2025-05-18,12:40:00,AVDA. CIUDAD DE BARCELONA / CALL. LUIS MITJANS,3,RETIRO,Colisión lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Mujer,14,Sin asistencia sanitaria,443026,4472317,false,false
2025S058427,2025-05-18,12:54:00,PLAZA. PUERTA CERRADA / CALL. CAVA BAJA,1,CENTRO,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,De 35 a 39 años,Hombre,,Desconocido,439913,4473920,false,false
2025S058427,2025-05-18,12:54:00,PLAZA. PUERTA CERRADA / CALL. CAVA BAJA,1,CENTRO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,439913,4473920,false,false
2025S058428,2025-05-18,11:15:00,CALL. LUIS MITJANS / CALL. VALDERRIBAS,3,RETIRO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,,Desconocido,443143,4472595,false,false
2025S058428,2025-05-18,11:15:00,CALL. LUIS MITJANS / CALL. VALDERRIBAS,3,RETIRO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,,Desconocido,443143,4472595,false,false
2025S058432,2025-05-18,10:00:00,AVDA. PORTUGAL / PLAZA. PUERTA DEL ANGEL,9,MONCLOA-ARAVACA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,14,Sin asistencia sanitaria,438085,4474038,false,false
2025S058433,2025-05-18,13:15:00,AVDA. CARABANCHEL ALTO / AVDA. PESETA,11,CARABANCHEL,Colisión lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Mujer,,Desconocido,436000,4468196,false,false
2025S058433,2025-05-18,13:15:00,AVDA. CARABANCHEL ALTO / AVDA. PESETA,11,CARABANCHEL,Colisión lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Mujer,,Desconocido,436000,4468196,false,false
2025S058434,2025-05-18,12:45:00,CALL. GERONA,1,CENTRO,Caída,Despejado,VMU eléctrico,Conductor,De 18 a 20 años,Mujer,1,Atención en urgencias sin posterior ingreso,440056,4474070,false,false
2025S058435,2025-05-18,12:10:00,AVDA. MADROÑOS,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,445542,4478602,false,false
2025S058435,2025-05-18,12:10:00,AVDA. MADROÑOS,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,445542,4478602,false,false
2025S058435,2025-05-18,12:10:00,AVDA. MADROÑOS,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 70 a 74 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,445542,4478602,false,false
2025S058439,2025-05-18,15:25:00,AVDA. JOAQUIN GARRIGUES WALKER / CALL. ESTEBAN CARROS,13,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,443921,4469016,false,false
2025S058439,2025-05-18,15:25:00,AVDA. JOAQUIN GARRIGUES WALKER / CALL. ESTEBAN CARROS,13,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,443921,4469016,false,false
2025S058439,2025-05-18,15:25:00,AVDA. JOAQUIN GARRIGUES WALKER / CALL. ESTEBAN CARROS,13,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Pasajero,De 35 a 39 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,443921,4469016,false,false
2025S058443,2025-05-18,14:40:00,AVDA. POBLADOS,10,LATINA,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,De 30 a 34 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,435364,4470828,false,false
2025S058443,2025-05-18,14:40:00,AVDA. POBLADOS,10,LATINA,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Pasajero,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,435364,4470828,false,false
2025S058443,2025-05-18,14:40:00,AVDA. POBLADOS,10,LATINA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,435364,4470828,false,false
2025S058449,2025-05-18,12:30:00,CALL. JOAQUIN CIMAS / CALL. JUAN FRANCISCO PASCUAL,16,HORTALEZA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,444935,4480620,false,false
2025S058449,2025-05-18,12:30:00,CALL. JOAQUIN CIMAS / CALL. JUAN FRANCISCO PASCUAL,16,HORTALEZA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,444935,4480620,false,false
2025S058450,2025-05-18,13:25:00,CALL. GRAN VIA / PLAZA. CALLAO,1,CENTRO,Colisión lateral,Despejado,Motocicleta > 125cc,Conductor,De 30 a 34 años,Hombre,,Desconocido,440125,4474640,false,false
2025S058450,2025-05-18,13:25:00,CALL. GRAN VIA / PLAZA. CALLAO,1,CENTRO,Colisión lateral,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,,Desconocido,440125,4474640,false,false
2025S058451,2025-05-18,06:00:00,AVDA. PESETA,11,CARABANCHEL,Colisión lateral,,Turismo,Conductor,De 21 a 24 años,Hombre,,Desconocido,435356,4468284,false,false
