fecha,hora,identificador,peatones,Número_distrito,distrito,direccion,observaciones_direccion,latitude,longitude
2024-05-01,10:00:00,PERM_PEA01_PM01,1406,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,11:00:00,PERM_PEA01_PM01,2243,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,12:00:00,PERM_PEA01_PM01,2676,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,13:00:00,PERM_PEA01_PM01,2749,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,14:00:00,PERM_PEA01_PM01,2499,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,15:00:00,PERM_PEA01_PM01,2416,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,16:00:00,PERM_PEA01_PM01,2291,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,17:00:00,PERM_PEA01_PM01,2123,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,18:00:00,PERM_PEA01_PM01,2160,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,19:00:00,PERM_PEA01_PM01,1991,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,20:00:00,PERM_PEA01_PM01,1779,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,21:00:00,PERM_PEA01_PM01,1880,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,22:00:00,PERM_PEA01_PM01,1754,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-02,23:00:00,PERM_PEA01_PM01,1167,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,00:00:00,PERM_PEA01_PM01,793,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,01:00:00,PERM_PEA01_PM01,375,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,02:00:00,PERM_PEA01_PM01,298,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,03:00:00,PERM_PEA01_PM01,158,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,04:00:00,PERM_PEA01_PM01,85,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,05:00:00,PERM_PEA01_PM01,64,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,06:00:00,PERM_PEA01_PM01,136,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,07:00:00,PERM_PEA01_PM01,76,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,08:00:00,PERM_PEA01_PM01,119,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,09:00:00,PERM_PEA01_PM01,404,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,10:00:00,PERM_PEA01_PM01,992,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,11:00:00,PERM_PEA01_PM01,1798,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,12:00:00,PERM_PEA01_PM01,2343,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,13:00:00,PERM_PEA01_PM01,2286,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,14:00:00,PERM_PEA01_PM01,2206,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,15:00:00,PERM_PEA01_PM01,2201,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,16:00:00,PERM_PEA01_PM01,2386,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,17:00:00,PERM_PEA01_PM01,1926,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,18:00:00,PERM_PEA01_PM01,2044,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,19:00:00,PERM_PEA01_PM01,2257,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,20:00:00,PERM_PEA01_PM01,2261,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,21:00:00,PERM_PEA01_PM01,2265,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-01,22:00:00,PERM_PEA01_PM01,1681,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-06-02,23:00:00,PERM_PEA01_PM01,1098,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,00:00:00,PERM_PEA01_PM01,690,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,01:00:00,PERM_PEA01_PM01,421,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,02:00:00,PERM_PEA01_PM01,205,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,03:00:00,PERM_PEA01_PM01,181,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,04:00:00,PERM_PEA01_PM01,84,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
